2936	18
728	338
6376	1
4192	3
5872	11
33872	3
560	394
41984	1
15496	4
2304	23
63976	2
7600	2
1120	94
26568	3
4280	11
24112	3
10632	2
56544	1
11544	5
17200	2
992	137
2984	18
976	71
78712	2
7736	2
10680	2
3600	6
4024	6
4768	9
9592	3
3512	14
10424	4
1520	42
21544	1
8560	3
2912	24
9000	3
2784	29
21080	3
5968	1
19392	6
768	210
7200	1
43296	2
5360	5
110688	1
7096	7
2416	16
19184	6
7504	5
17776	1
248	1909
4504	3
22768	1
600	404
16040	2
6160	3
6224	3
5824	8
5080	5
21424	1
3752	9
9072	1
5048	6
1720	39
8832	3
7104	1
2656	9
9080	2
22112	3
5936	2
25920	2
6504	3
232	2856
1616	45
3000	23
56	40668
17592	1
16632	1
3288	12
4048	12
5096	8
6168	4
2192	20
18112	3
52224	2
3848	10
120	8653
32880	2
4792	1
840	208
15624	2
11368	2
9896	1
11168	1
12312	3
3520	9
15328	5
13176	3
3568	5
4392	12
6616	2
496	485
5616	2
8136	2
912	156
4272	21
3096	16
7224	2
2392	29
15184	3
5440	1
1032	137
648	244
7952	1
1200	127
2672	13
12320	3
44328	2
1128	89
66872	3
1768	53
12448	4
2528	21
4464	8
16840	1
12296	2
13880	2
5752	8
2608	16
200	3256
1096	116
11384	3
2544	22
3112	8
56808	1
4728	8
12872	6
14336	2
41936	2
4080	7
11920	2
4936	14
5312	4
8720	4
3528	23
1624	71
3056	14
3728	15
1024	115
2248	15
50416	3
15072	1
1080	104
10232	1
944	82
4648	5
13008	3
6976	5
12128	1
9176	4
3792	7
464	667
3944	26
17536	3
26728	1
20408	1
21512	1
8888	1
30872	1
616	380
33608	3
14224	3
6440	2
3480	7
3688	4
5200	5
17328	1
3264	18
5072	3
6576	2
2208	36
45192	1
10472	2
6000	2
16136	3
336	1127
13432	3
152	5709
5840	12
29048	5
1808	40
4640	2
2080	27
32504	3
1680	48
9472	3
15376	3
8120	3
101312	1
5928	4
392	742
2880	21
11744	1
984	53
584	329
3504	9
11760	3
2352	24
36704	3
1640	51
54800	1
14024	3
23184	2
11152	2
7136	1
6320	7
2256	22
6216	12
904	146
13232	3
18088	2
5512	6
152408	2
48808	1
360	844
8544	4
5240	5
7728	3
24832	1
16080	1
7576	1
120368	1
13792	2
10504	3
20120	3
4832	5
27544	2
2896	31
4952	3
10088	3
2744	31
10152	3
45176	1
23544	4
3800	8
3328	17
96	13491
40	79154
13160	2
4344	10
1296	26
144	5855
2728	15
25800	4
32	126338
2096	24
5128	8
21880	2
20184	3
11344	3
11616	5
18160	1
5016	1
6872	3
1504	39
72792	1
5216	10
400	780
1256	69
4672	1
888	166
504	490
81472	3
7928	5
11592	1
6696	3
10168	3
11784	1
9704	3
4824	2
6960	8
15808	3
1000	119
51688	1
52624	1
7432	3
21688	4
4776	5
41440	3
6152	4
6480	1
1744	79
7056	6
4040	9
1648	58
3088	8
17304	1
2272	25
1592	64
688	252
24	220529
55720	1
6600	10
14488	3
21224	3
3496	13
5224	6
2792	12
9744	2
13952	2
14208	2
10728	2
3408	11
2472	20
11648	2
5448	2
9368	1
2360	24
3376	6
13368	1
1840	28
3128	10
10392	3
5504	2
1304	57
22968	3
6640	1
9728	5
1232	108
2344	39
44344	3
8272	3
5704	11
624	357
4632	2
26408	2
7816	4
6752	3
67768	3
20112	3
3904	3
123424	2
28448	3
8144	2
6528	8
9976	7
856	185
3208	18
15712	3
10936	1
2104	30
13152	6
8184	3
167632	1
22384	1
79408	2
30744	2
39784	1
113400	1
1400	48
15032	6
18648	3
31456	1
6664	4
4128	14
3840	5
3808	24
64200	2
1352	66
7496	5
67896	3
3936	6
13080	1
5008	3
14568	1
3072	6
101608	2
3424	20
2520	11
11552	1
15592	2
5384	10
2088	34
6584	1
4552	6
91408	1
6184	6
8096	2
90272	3
776	200
21584	1
5304	9
328	1277
20912	1
4408	1
26232	2
21824	1
1424	60
1856	39
34000	3
10544	3
4112	14
2040	33
17408	3
5760	8
6864	5
1784	31
199792	1
1936	16
9280	3
13528	1
48000	3
33840	1
3696	18
6824	7
5408	5
7768	2
31656	1
16912	1
7048	6
5104	4
1168	134
11912	5
7008	6
7400	5
22288	2
5392	7
13848	1
5280	3
5880	5
11664	1
9152	2
10488	2
10640	4
3176	2
3992	17
7840	6
5368	1
1320	76
2184	33
1672	39
7072	6
2336	14
9800	1
6904	3
19752	2
65304	1
2216	13
15600	2
3384	4
1704	62
5352	3
11240	2
170304	1
2944	20
2768	10
11304	2
3960	3
13832	4
43008	1
2952	22
40784	2
6296	7
21008	1
9720	2
12440	3
30576	2
792	213
2840	15
17176	3
34248	2
5576	6
5792	2
14424	2
3624	5
1464	41
23152	2
4064	11
4304	9
3656	6
9944	6
9384	2
9960	4
4712	9
11112	3
12488	2
6176	6
5920	5
9224	3
7896	2
9888	3
30088	2
3560	16
8	2010845
4496	2
25208	1
17208	4
15064	3
26616	1
18848	4
33328	2
1880	50
3184	11
2200	19
7560	3
12016	3
42760	1
4800	8
25184	4
2024	40
13744	2
10976	3
2032	13
6840	4
163712	1
14672	2
3400	18
5160	4
5232	4
6384	9
9256	3
2864	7
5864	3
376	860
16568	3
15952	1
20584	1
4312	5
1944	12
16	492177
1008	82
5856	6
3392	13
8408	1
8912	3
20336	6
4528	4
6760	6
4016	10
10296	4
8624	2
20720	3
1408	54
72840	1
4472	11
13920	2
20760	3
5136	6
4120	4
28320	2
5120	5
11016	1
2400	22
14128	3
7232	4
4376	6
46056	1
1760	33
4056	16
46744	1
7368	4
9048	3
9544	1
27152	1
47400	3
47880	2
4960	2
2312	43
14688	1
1064	126
3888	9
18208	1
15960	1
1288	55
9032	6
5176	5
744	221
1912	90
9192	3
16224	2
19288	1
10032	1
1848	25
6264	1
8728	1
4992	3
2048	32
3360	8
57376	3
12800	2
1016	85
14536	2
2848	6
11584	1
19120	2
23320	1
8224	3
36104	3
3256	14
15576	2
8336	3
5720	3
3640	12
25096	4
2112	14
5424	1
1976	38
1984	22
25928	2
50784	3
1952	36
3168	18
3216	18
2240	17
12824	3
8592	4
2320	22
100512	2
109000	2
10416	7
19464	1
1904	62
6624	3
1208	97
13864	4
6880	2
816	192
5768	16
48800	1
13824	3
784	167
4720	4
2576	20
33200	1
1560	65
7760	5
2280	14
2664	19
8464	3
13520	5
1536	53
344	971
7552	1
10264	2
9112	4
11736	2
5960	3
2000	34
128	8008
59200	3
24976	3
1992	26
10760	2
408	909
50896	2
288	1440
4624	11
552	467
6496	2
3448	13
3464	6
6328	1
8160	3
1248	137
31312	3
69024	3
2160	28
5288	1
66200	2
6128	1
23536	2
5344	9
5464	10
5976	9
2008	39
32328	2
224	2734
7808	9
8208	3
6968	4
12544	2
11792	3
25632	2
4680	12
13056	3
46616	3
15992	1
2584	15
1712	60
6416	1
7520	2
10672	2
45344	1
21320	2
5544	6
35504	3
17160	2
31648	2
5632	9
6032	3
13096	4
13256	3
72568	1
8848	5
22656	1
13048	3
5320	4
2976	19
8352	2
2512	23
2432	20
5560	3
3136	12
48776	1
13000	4
12696	3
22208	3
10016	2
3144	9
7016	1
2904	10
6704	2
5456	2
3456	4
4840	6
6936	5
928	187
63080	2
65720	1
240	2031
14992	2
14088	2
2856	11
12744	1
1264	79
8880	4
28656	2
13024	3
22528	2
4336	12
60368	3
9568	1
6208	10
6536	2
11568	3
4584	5
208456	3
9088	3
25728	1
12576	3
800	229
27848	2
19816	2
13168	3
4568	3
12368	1
7184	1
9536	3
664	281
7408	5
8488	1
24456	1
14560	2
14776	7
272	1865
51496	2
3784	15
656	424
41296	2
3032	19
29912	2
296	1417
17064	1
9632	3
6488	2
8672	1
6408	3
3576	8
17184	3
